快捷鍵|先決條件|說明
---|---|---
F2|選定的任何文件或文件夾|重命名
F5|無|刷新
Enter|僅選擇一個文件或文件夾|使用關聯程序打開文件或進入文件夾
Back|無|導航到上一個文件夾
Space|Quicklook正在運行並且已選擇任何文件或文件夾|使用 Quicklook 查看相關信息
Esc|None|關閉預覽窗口或退出內置查看器
Delete|選擇任意文件或文件夾|刪除文件或文件夾
Ctrl + L|無|激活地址欄
Ctrl + V|無|粘貼
Ctrl + A|無|選擇所有文件和文件夾
Ctrl + C|選擇任意文件或文件夾|複製文件或文件夾
Ctrl + X|選擇任意文件或文件夾|移動文件或文件夾
Ctrl + D|選擇任意文件或文件夾|刪除文件或文件夾
Ctrl + F|無|激活搜索框
Ctrl + Z|對應的記錄存在|撤銷之前的操作
Ctrl + T|取消選擇或僅選擇一個文件夾|在新選項卡中打開指定的文件夾。如果沒有選擇文件夾，只會創建一個新的標籤頁
Ctrl + Q|僅選擇一個文件夾|在新窗口中打開指定文件夾
Ctrl + B|無|如果只選擇一個文件夾，則指定的文件夾將在新的垂直拆分窗口中打開。在其他情況下，當前文件夾將在新的垂直拆分窗口中打開
Ctrl + E|無|清空回收站
Ctrl + R|選擇任意文件或文件夾|恢復回收站中選中的所有項目
Ctrl + W|無|關閉當前標籤
Ctrl + U|選擇已被Bitlocker加密的驅動器|解鎖加密驅動器
Ctrl + 鼠標滾輪|無|更改文件顯示模式
Ctrl + 雙擊|選擇任意文件夾|在新選項卡中打開指定文件夾
Ctrl + Tab|打開了多個標籤頁|切換到右邊的標籤頁
Ctrl + PageUp|無|切換到左邊的選項卡
Ctrl + PageDown|無|切換到右側的選項卡
Shift + E|無|使用 Windows 資源管理器打開當前文件夾
Shift + T|None|根據設置裡的配置啟動對應的終端
Alt + Left|無|導航到上一個文件夾
Alt + Right|無|導航到下一個文件夾
Alt + Enter|僅選擇一個文件或文件夾|啟動屬性窗口
Alt + Double Click|僅選擇一個文件或文件夾|啟動屬性窗口
Ctrl + Shift + N|無|創建新文件夾
Ctrl + Shift + C|無|複製所選項目的路徑。如果沒有選中項目，則復制當前文件夾的路徑
Ctrl + Shift + Tab|打開了多個標籤頁|切換到左邊的標籤頁
